web-scraper-order,web-scraper-start-url,data-page-selector,data-page-selector-href,Product-name-0,current_price-0,original_price-0,net_quantity-0,rating-0,review_count-0,product_type-0
1756118427-77,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹51₹58SAVE₹7100 gGalangal / Thai Ginger5(160),https://www.zeptonow.com/pn/galangal-thai-ginger/pvid/50a9ed68-64a5-4cbc-8e06-44966566fc17,Galangal / Thai Ginger,₹51,₹58,100 g,5,(160),Unbranded
1756118436-78,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹29₹33SAVE₹4200 gKale5(233),https://www.zeptonow.com/pn/kale/pvid/5ca69566-ed7b-44a3-9c2e-42a79d6db9c9,Kale,₹29,₹33,200 g,5,(233),No
1756118444-79,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹116₹131SAVE₹152 pieceApple Pink Lady3.9(415),https://www.zeptonow.com/pn/apple-pink-lady/pvid/5eca6aeb-2cb7-49be-9fb2-d9d73b1b74ff,Apple Pink Lady,₹116,₹131,2 piece,3.9,(415),Fruits
1756118451-80,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹51₹58SAVE₹7100 gRoquette / Arugula4.8(57),https://www.zeptonow.com/pn/roquette-arugula/pvid/b7174834-9d05-41c7-b49a-844b38ce90d2,Roquette / Arugula,₹51,₹58,100 g,4.8,(57),Unbranded
1756118459-81,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹95₹107SAVE₹122 pieceApple Royal Gala Indian3.9(105),https://www.zeptonow.com/pn/apple-royal-gala-indian/pvid/419f3bb6-88c4-4ab1-8c53-c1d8dfa60910,Apple Royal Gala Indian,₹95,₹107,2 piece,3.9,(105),Unbranded
1756118471-82,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹144₹162SAVE₹182 pcsDragon Fruit Imported4.2(2.0k),https://www.zeptonow.com/pn/dragon-fruit-imported/pvid/4e03b33d-d960-4200-918c-9ea952084db6,Dragon Fruit Imported,₹144,₹162,2 pcs,4.2,(2.0k),Unbranded
1756118478-83,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹20₹22SAVE₹21 Pc (200-300 gm)Cucumber White (Pandhri Kakdi)4.6(650),https://www.zeptonow.com/pn/cucumber-white-pandhri-kakdi/pvid/ea2e56a5-fa55-416f-91c6-0fa2ebacd66a,Cucumber White (Pandhri Kakdi),₹20,₹22,1 Pc (200-300 gm),4.6,(650),Vegetable
1756118486-84,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹135₹152SAVE₹172 x (280 - 300 g)Pear Beauty4.2(1.7k),https://www.zeptonow.com/pn/pear-beauty/pvid/f69ee51a-f627-4964-b2aa-36fa291f0fcb,Pear Beauty,₹135,₹152,2 x (280 - 300 g),4.2,(1.7k),Fruits
1756118494-85,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹26₹29SAVE₹31 pcBanana Stem4.2(6.2k),https://www.zeptonow.com/pn/banana-stem/pvid/84f7b613-e372-4c87-b773-43a51d91357a,Banana Stem,₹26,₹29,1 pc,4.2,(6.2k),Vegetable
1756118502-86,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹94₹106SAVE₹122 pcsKiwi Green Jumbo Premium4(779),https://www.zeptonow.com/pn/kiwi-green-jumbo-premium/pvid/d3e1a1d5-d770-4434-a53a-0744503c1695,Kiwi Green Jumbo Premium,₹94,₹106,2 pcs,4,(779),Fruits
1756118510-87,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹97₹109SAVE₹12250 gSpine Gourd (Kantola)4.3(656),https://www.zeptonow.com/pn/spine-gourd-kantola/pvid/5b233b0e-1653-433a-8375-b91b35b8d104,Spine Gourd (Kantola),₹97,₹109,250 g,4.3,(656),Unbranded
1756118519-88,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹73₹110SAVE₹371 pcs(125 -175 g)Red Bell Pepper4.4(63),https://www.zeptonow.com/pn/red-bell-pepper/pvid/8e250415-965f-4069-b741-9789712f818e,Red Bell Pepper,₹73,₹110,1 pcs(125 -175 g),4.4,(63),Unbranded
1756118528-89,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹33₹60SAVE₹27500 gPotato Red4.1(2.4k),https://www.zeptonow.com/pn/potato-red/pvid/ae3b1561-c44a-4667-9da9-7a37c4f2a1b4,Potato Red,₹33,₹60,500 g,4.1,(2.4k),No
1756118537-90,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹108₹121SAVE₹13500 gSambar Onion4.5(858),https://www.zeptonow.com/pn/sambar-onion/pvid/548b25f4-fd07-4b5e-bce8-2e4241ef4c09,Sambar Onion,₹108,₹121,500 g,4.5,(858),Unbranded
1756118545-91,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹296₹334SAVE₹3880 gRaspberry4.9(706),https://www.zeptonow.com/pn/raspberry/pvid/9576e6ab-3da2-4f0a-9545-617002c1abad,Raspberry,₹296,₹334,80 g,4.9,(706),Fruits
1756118554-92,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹108₹121SAVE₹13250 gLotus Stem4.6(220),https://www.zeptonow.com/pn/lotus-stem/pvid/9cb5d71a-cd7d-4aee-9bae-735c0aec57ae,Lotus Stem,₹108,₹121,250 g,4.6,(220),Unbranded
1756118562-93,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹234₹264SAVE₹306 pieceApple Royal Gala Indian4.6(162),https://www.zeptonow.com/pn/apple-royal-gala-indian/pvid/0447e3cb-45af-4724-b227-e858bdd45755,Apple Royal Gala Indian,₹234,₹264,6 piece,4.6,(162),Unbranded
1756118571-94,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹49₹54SAVE₹5500 gSnake Gourd4.2(160),https://www.zeptonow.com/pn/snake-gourd/pvid/8b2d5b12-2e98-4d7f-b609-f371d4079b17,Snake Gourd,₹49,₹54,500 g,4.2,(160),Unbranded
1756118580-95,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹19₹21SAVE₹21 pc (150-250 gm)Beetroot3.9(1.2k),https://www.zeptonow.com/pn/beetroot/pvid/c0b246b0-98e8-48fb-81d7-f38194af6bc8,Beetroot,₹19,₹21,1 pc (150-250 gm),3.9,(1.2k),Vegetable
1756118590-96,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹103₹119SAVE₹16500 gBanana Red Semi Ripe4.1(25.2k),https://www.zeptonow.com/pn/banana-red-semi-ripe/pvid/264e060e-91b9-4cbc-983a-f161d02cd5fa,Banana Red Semi Ripe,₹103,₹119,500 g,4.1,(25.2k),Unbranded
1756118599-97,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹35₹39SAVE₹41 pc (350 - 500 g)Papaya Raw4.1(4.3k),https://www.zeptonow.com/pn/papaya-raw/pvid/1ac5f6f3-a9dc-4c3c-9d6e-3c22fa824365,Papaya Raw,₹35,₹39,1 pc (350 - 500 g),4.1,(4.3k),Vegetable
