url,title,price,agency_name,agency_contact_number,governorate,area,property_type,property_size,rate_per_sqft,rooms,bathrooms,roads,parking,built_up_area,classification
https://baity.bh/properties/villa-in-saar-40508,Villa in Saar,160000,Grnata Real Estate,97336005571,Northern,Saar,VILLA,207.5,71.6,4,5,1,2,360,RA
https://baity.bh/properties/land-in-hamala-31643,Land in Hamala,87313,Al Mahd Real Estate,39919966,Northern,Hamala,PLOT,289.7,28,,,2,,,RHA
https://baity.bh/properties/land-in-maqabah-41483,Land in Maqabah,103000,Effects Real Estate,39975454,Northern,Maqabah,PLOT,341.99,28,,,1,,,RA
https://baity.bh/properties/land-in-budaiya-23490,Land in Budaiya,63000,Nasser Al-Ahli,17777743,Northern,Budaiya,PLOT,198.5,29.5,,,3,,,RHB
https://baity.bh/properties/land-in-bu-quwah-37603,Land in Bu Quwah,106468,Best Spot Real Estate,77991118,Northern,Bu Quwah,PLOT,309.1,32,,,2,,,RA
https://baity.bh/properties/land-in-saar-42459,Land in Saar,191625,Grnata Real Estate,97336005571,Northern,Saar,PLOT,635.8,28,,,2,,,RA
https://baity.bh/properties/apartment-in-al-juffair-38459,Apartment in Al Juffair,43000,SAYED MAHDI REAL ESTATE AGENCY,17244399,Capital,Al Juffair,APARTMENT,83.9,47.6,1,1,,1,,
https://baity.bh/properties/villa-in-jebalat-hebshi-35376,Villa in Jebalat Hebshi,250000,Majestic Properties,39655161,Northern,Jebalat Hebshi,VILLA,430,56.2,5,7,2,3,600,RA
https://baity.bh/properties/land-in-tubli-39010,Land in Tubli,208218,Effects Real Estate,39975454,Capital,Tubli,PLOT,806,24,,,2,,,RB
https://baity.bh/properties/villa-in-damistan-42467,Villa in Damistan,128000,Al Mahd Real Estate,39919966,Northern,Damistan,VILLA,200,59.5,4,5,1,2,285,RA
https://baity.bh/properties/land-in-al-dair-38343,Land in Al Dair,129400,Al Mahd Real Estate,39919966,Muharraq,Al Dair,PLOT,429.4,28,,,2,,,RB
https://baity.bh/properties/land-in-muharraq-31953,Land in Muharraq,80000,Grnata Real Estate,97336005571,Muharraq,Muharraq,PLOT,231.3,32.1,,,2,,,RHA
https://baity.bh/properties/land-in-hamala-31197,Land in Hamala,64000,Grnata Real Estate,97336005571,Northern,Hamala,PLOT,201.6,29.5,,,1,,,RHA
