id,reference_number,url,broker_display_name,broker,category,category_url,title,description,location,price,currency,price_per,bedrooms,bathrooms,furnished,rera_permit_number,dtcm_licence,scraped_ts,amenities,details,agent_name,number_of_photos,user_id,phone_number,date,iteration_number,depth,property_type,sub_category_1,sub_category_2,published_at
81442,81442,https://www.nawy.com/compound/1470-district-6-laria/property/81442-Apartment-for-sale-in-District 6 - Laria-with-21-bedrooms-in-October Gardens-by-Palm Hills Developments,Palm Hills Developments,Palm Hills Developments,,,Apartment for sale in District 6 - Laria with 2 bedrooms in October Gardens by Palm Hills Developments,A 2 bedroom Apartment in District 6 - Laria by Palm Hills Developments. The Apartment size is 135 m2 with 3 bathrooms and a roof of 21 m2 . This property will be ready for delivery finished by 2030-06-30.,"District 6 - Laria, October Gardens, Egypt",12606366,EGP,,2,3,,,,2025-11-28,Has roof,"Gallery,View on Map,Floor Plan,Master Plan",,5,,+201065888849,2025-11-28,,,Apartment,,,
105183,105183,https://www.nawy.com/compound/1567-parkside-owest/property/105183-Penthouse-for-sale-in-Parkside - Owest -with-4-bedrooms-in-October Gardens-by-Orascom Development Egypt,Orascom Development Egypt,Orascom Development Egypt,,,Penthouse for sale in Parkside - Owest with 2 bedrooms in October Gardens by Orascom Development Egypt,A 2 bedroom Penthouse in Parkside - Owest  by Orascom Development Egypt. The Penthouse size is 146 m2 with 4 bathrooms and a roof of 45 m2 . This property will be ready for delivery not-finished by 2030-09-30.,"Parkside - Owest , October Gardens, Egypt",14441000,EGP,,2,4,,,,2025-11-28,Has roof,"Gallery,View on Map,Floor Plan,Master Plan",,5,,+201065888849,2025-11-28,,,Penthouse,,,
102459,102459,https://www.nawy.com/compound/663-cleo-palm-hills-new-cairo/property/102459-Apartment-for-sale-in-Cleo - Palm Hills New Cairo-with-21-bedrooms-in-New Cairo-by-Palm Hills Developments,Palm Hills Developments,Palm Hills Developments,,,Apartment for sale in Cleo - Palm Hills New Cairo with 2 bedrooms in New Cairo by Palm Hills Developments,A 2 bedroom Apartment in Cleo - Palm Hills New Cairo by Palm Hills Developments. The Apartment size is 114 m2 with 3 bathrooms. This property will be ready for delivery finished by 2028-06-30.,"Cleo - Palm Hills New Cairo, New Cairo, Egypt",14640000,EGP,,2,3,,,,2025-11-28,,"Gallery,View on Map,Floor Plan,Master Plan",,6,,+201065888849,2025-11-28,,,Apartment,,,
107523,107523,https://www.nawy.com/compound/1616-oak-residence/property/107523-Apartment-for-sale-in-Oak Residence-with-21-bedrooms-in-New Heliopolis-by-SODIC,SODIC,SODIC,,,Apartment for sale in Oak Residence with 3 bedrooms in New Heliopolis by SODIC,A 3 bedroom Apartment in Oak Residence by SODIC. The Apartment size is 157 m2 with 3 bathrooms. This property will be ready for delivery finished by 2027-09-30.,"Oak Residence, New Heliopolis, Egypt",14727000,EGP,,3,3,,,,2025-11-28,,"Gallery,View on Map,Floor Plan,Master Plan",,5,,+201065888849,2025-11-28,,,Apartment,,,
108130,108130,https://www.nawy.com/compound/1621-club-park-icity-new-cairo/property/108130-Apartment-for-sale-in-Club Park- ICity New Cairo-with-21-bedrooms-in-New Cairo-by-Mountain View,Mountain View,Mountain View,,,Apartment for sale in Club Park- ICity New Cairo with 3 bedrooms in New Cairo by Mountain View,A 3 bedroom Apartment in Club Park- ICity New Cairo by Mountain View. The Apartment size is 180 m2 with 2 bathrooms. This property will be ready for delivery not-finished by 2025-12-01.,"Club Park- ICity New Cairo, New Cairo, Egypt",15194507,EGP,,3,2,,,,2025-11-28,Nanny Room,"Gallery,View on Map,Floor Plan,Master Plan",,6,,+201065888849,2025-11-28,,,Apartment,,,
108690,108690,https://www.nawy.com/compound/1889-mv-park-icity-new-october/property/108690-Duplex-for-sale-in-MV Park - ICity New October-with-3-bedrooms-in-Northern Expansion-by-Mountain View,Mountain View,Mountain View,,,,A 3 bedroom Duplex in MV Park - ICity New October by Mountain View. The Duplex size is 190 m2 with 3 bathrooms. This property will be ready for delivery finished by 2026-05-01.,"MV Park - ICity New October, Northern Expansion, Egypt",17673835,EGP,,3,3,,,,2025-11-28,Nanny Room,"Gallery,View on Map,Floor Plan",,5,,+201065888849,2025-11-28,,,Duplex,,,
107699,107699,https://www.nawy.com/compound/1748-cluster-bloomfields/property/107699-Apartment-for-sale-in-Cluster-Bloomfields-with-21-bedrooms-in-Mostakbal City-by-Tatweer Misr,Tatweer Misr,Tatweer Misr,,,Apartment for sale in Cluster-Bloomfields with 3 bedrooms in Mostakbal City by Tatweer Misr,A 3 bedroom Apartment in Cluster-Bloomfields by Tatweer Misr. The Apartment size is 205 m2 with 3 bathrooms. This property will be ready for delivery finished by 2027-12-25.,"Cluster-Bloomfields, Mostakbal City, Egypt",17145000,EGP,,3,3,,,,2025-11-28,,"Gallery,View on Map,Floor Plan",,5,,+201065888849,2025-11-28,,,Apartment,,,
87333,87333,https://www.nawy.com/compound/634-marina-residence-il-monte-galala/property/87333-chalet-for-sale-in-marina-residence-il-monte-galala-with-3-bedrooms-in-ain-sokhna-by-tatweer-misr,Tatweer Misr,Tatweer Misr,,,Chalet for sale in Marina Residence Il Monte Galala with 3 bedrooms in Ain Sokhna by Tatweer Misr,A 3 bedroom Chalet in Marina Residence Il Monte Galala by Tatweer Misr. The Chalet size is 115 m2 with 2 bathrooms. This property will be ready for delivery finished by 2030-01-30.,"Marina Residence Il Monte Galala, Ain Sokhna, Egypt",18775000,EGP,,3,2,,,,2025-11-28,,"Gallery,View on Map,Floor Plan,Master Plan",,6,,+201065888849,2025-11-28,,,Chalet,,,
73448,73448,https://www.nawy.com/compound/1441-sapphire-golf-residences/property/73448-en,Qatari Diar,Qatari Diar,,,Apartment for sale in Sapphire Golf Residences with 3 bedrooms by Qatari Diar,A 3 bedroom Apartment in Sapphire Golf Residences by Qatari Diar. The Apartment size is 201 m2 with 3 bathrooms. This property will be ready for delivery finished by 2029-09-30.,"Sapphire Golf Residences, New Cairo, Egypt",25900000,EGP,,3,3,,,,2025-11-28,Nanny Room,"Gallery,View on Map,Floor Plan,Master Plan",,4,,+201065888849,2025-11-28,,,Apartment,,,
99693,99693,https://www.nawy.com/compound/693-lagoon-beach-park-mountain-view-i-city-october/property/99693-Duplex-for-sale-in-Lagoon Beach Park Mountain View I-City October-with-3-bedrooms-in-6th of October City-by-Mountain View,Mountain View,Mountain View,,,I-Villa 3 for sale in Lagoon Beach Park Mountain View I-City October with 3 bedrooms in 6th of October City by Mountain View,A 3 bedroom Duplex in Lagoon Beach Park Mountain View I-City October by Mountain View. The Duplex size is 200 m2 with 3 bathrooms with a garden of 95 m2 . This property will be ready for delivery finished by 2030-06-01.,"Lagoon Beach Park Mountain View I-City October, 6th of October City, Egypt",21654407,EGP,,3,3,,,,2025-11-28,"Garden,Nanny Room","Gallery,View on Map,Floor Plan,Master Plan",,6,,+201065888849,2025-11-28,,,Duplex,,,
