URL,Product Name,Price,currency,OEM Part For,Part Number,Availability,Breadcrumbs,Description,Additional Description
https://www.ereplacementparts.com/grinding-wheel-diameter-thick-arbor-p-114856.html,Grinding Wheel DW4719,7.00,USD,DeWALT,DW4719,,Repair Parts Home > Power Tool Parts > DeWALT Parts > DW4719 Grinding Wheel,"Diameter: 7"" Thickness: 1/4"" Arbor: 7/8"" Application: METAL GRINDING / GENERAL PURPOSE Max. RPM: 8, 700 RPM QTY: 1 Grit: A24R",Classification: Accessory Weight: 0.90 lbs.
https://www.ereplacementparts.com/grinding-wheel-diameter-764-thick-arbor-p-193466.html,"Grinding Wheel - 14 Diameter,​ 727685B10M",77.15,USD,Metabo HPT,727685B10M,,"Repair Parts Home > Power Tool Parts > Accessories > 727685B10M Grinding Wheel - 14 Diameter,","Hitachi Bonded Abrasives are made with a patented multi-layer contruction. Top layer of glass fiber protects the worker agains chipping off of abrasive grains. Fine grit layer on top helps to have a better connection with glass fiber reinforcement, increases safety, and acts like a backup for the coarse grit. Bottom layer of glass fiber is only half size while most competitors have full size. This allows better start up because the grains act right from the beginning and fiber glass does not grind. Course and fine grit combination allows to influence the surface finish on the work piece by altering the grinding angle or movement in direction to or away form the worker. Flat shape, Type 1 Diameter: 14"" Thickness: 7/64"" Arbor: 1"" Application: Steel/Inox Cutting QTY: 10",Classification: Accessory Weight: 1.56 lbs.
https://www.ereplacementparts.com/grinding-wheel-412-diameter-thick-5811-arbor-p-114954.html,Grinding Wheel - 4-1/​2 DW8435,5.60,USD,DeWALT,DW8435,,Repair Parts Home > Power Tool Parts > Accessories > DW8435 Grinding Wheel - 4-1/2,"Diameter: 4-1/2"" Thickness: 1/8"" Arbor: 5/8""-11 Application: PIPELINE CUTTING, GRINDING / TYPE 27 Max. RPM: 13, 300 RPM QTY: 1 Grit: A24R",Classification: Accessory Weight: 0.20 lbs.
https://www.ereplacementparts.com/grinding-wheel-diameter-040-thick-arbor-p-130076.html,"Grinding Wheel - 4 Diameter,​ TCW1S400",4.13,USD,Bosch,TCW1S400,,"Repair Parts Home > Power Tool Parts > Accessories > TCW1S400 Grinding Wheel - 4 Diameter,","This ISO 41 Rapido thin cutting wheel provides up to 50% less cutting time and require less force. It is excellent for vibration free cutting and no burring to avoid rework. Diameter: 4"" Thickness: .040"" Arbor: 5/8"" Application: Metal/Stainless Steel Cutting Max. RPM: 15, 250 QTY: 1 Grit: AS60INOX-BF",Classification: Accessory Weight: 0.05 lbs.
https://www.ereplacementparts.com/grinding-wheel-412-diameter-thick-arbor-p-501744.html,Grinding Wheel - 4-1/​2-inch Di DW8306,9.21,USD,DeWALT,DW8306,,Repair Parts Home > Power Tool Parts > Accessories > DW8306 Grinding Wheel - 4-1/2-inch Di,"Diameter: 4-1/2"" Arbor: 7/8"" Max. RPM: 13, 300 Grit: 36 QTY: 1",Classification: Part Weight: 0.20 lbs.
https://www.ereplacementparts.com/grinding-wheel-412-diameter-332-thick-arbor-p-114826.html,Grinding Wheel - 4-1/​2-inch Di DW8750,4.13,USD,DeWALT,DW8750,,Repair Parts Home > Power Tool Parts > Accessories > DW8750 Grinding Wheel - 4-1/2-inch Di,"Diameter: 4-1/2"" Thickness: 3/32"" Arbor: 7/8"" Application: METAL CUTTING AND NOTCHING Max. RPM: 13, 300 RPM QTY: 1 Grit: A24R",Classification: Accessory Weight: 0.20 lbs.
https://www.ereplacementparts.com/grinding-wheel-diameter-764-thick-arbor-p-115045.html,Grinding Wheel - 14-inch Diame DW8002,13.45,USD,DeWALT,DW8002,,Repair Parts Home > Power Tool Parts > Accessories > DW8002 Grinding Wheel - 14-inch Diame,"Diameter: 14"" Thickness: 7/64"" Arbor: 1"" Application: CHOP SAW/CUTOFF TYPE 1 GEN. PURPOSE BAR CUTTING Max. RPM: 4, 300 RPM QTY: 1 Grit: A24R",Classification: Accessory Weight: 1.40 lbs.
https://www.ereplacementparts.com/grinding-wheel-diameter-045-thick-arbor-p-147481.html,"Grinding Wheel - 6 Diameter,​ 49-94-6305",6.56,USD,Milwaukee,49-94-6305,,"Repair Parts Home > Power Tool Parts > Accessories > 49-94-6305 Grinding Wheel - 6 Diameter,","6 inch x .045 inch x 7/8 inch A60T Type 27 Comprehensive offering for general purpose to specialized high performance applications Consistent performance from wheel to wheel through superior manufacturing processes Tested for balance, resulting in smooth, vibration free grinding and cutting Milwaukee's comprehensive offering of grinding and cutting wheels consists of 45 unique products ranging in diameters from 4-1/2 in. to 14 in., with arbor configurations of 7/8 in., 20mm, 1 in. and 5/8 in.-11. Milwaukee's abrasive offering is manufactured using three types of abrasive grains, Aluminum Oxide, Silicon Carbide, and Zirconia Alumina, providing products for general purpose to specialized high performance applications. Diameter: 6"" Thickness: .045"" Arbor: 7/8"" Application: Metal Cutting Max. RPM: 10, 185 Grit: A60T QTY: 1",Classification: Accessory Weight: 0.15 lbs.
https://www.ereplacementparts.com/grinding-wheel-412-diameter-thick-5811-arbor-p-501692.html,Grinding Wheel - 4-1/​2-inch Di DW8312,12.95,USD,DeWALT,DW8312,,Repair Parts Home > Power Tool Parts > Accessories > DW8312 Grinding Wheel - 4-1/2-inch Di,"Diameter: 4-1/2"" Arbor: 5/8""-11 Max. RPM: 13, 300 Grit: 60 QTY: 5",Classification: Accessory Weight: 0.20 lbs.
https://www.ereplacementparts.com/grinding-wheel-diameter-564-thick-arbor-p-146837.html,"Grinding Wheel - 9 Diameter,​ TCW27S900",9.03,USD,Bosch,TCW27S900,,"Repair Parts Home > Power Tool Parts > Accessories > TCW27S900 Grinding Wheel - 9 Diameter,","This Type 27A Rapido thin cutting wheel provides up to 50% less cutting time and require less force. It is excellent for vibration free cutting and no burring to avoid rework. Diameter: 9"" Thickness: 5/64"" Arbor: 7/8"" Application: Metal/Stainless Steel Cutting Max. RPM: 6, 600 Grit: AS60INOX-BF QTY: 1",Classification: Accessory Weight: 0.40 lbs.
